Table S1: DESeq2 differential gene expression analysis of Staphylococcus aureus USA300 wild type after AGXX® treatment ,,,,,,,,,,,,,
USA300-numbers,COL-numbers,Gene symbol,Operon,Regulon,Function,Base mean,A-value,M-value,Fold change,Standard error,Wald statistic,P-value,Adjusted P-value
USA300HOU_0518,SACOL0570,clpC,ctsR mcsA mcsB clpC,CtsR,AAA family ATP-binding protein,282035.22,18.11,6.90,119.23,0.17,40.71,0,0.00E+00
USA300HOU_0404,SACOL0452,ahpC,ahpCF,PerR,peroxiredoxin subunit C,190608.37,17.54,6.82,113.13,0.14,48.15,0,0.00E+00
USA300HOU_2397,SACOL2414,USA300HOU_2397,SACOL2414,-,hypothetical protein,7117.24,12.80,6.78,109.99,0.20,34.50,7.9264E-261,6.45E-259
USA300HOU_2511,SACOL2533,catE2,catE2,QsrR,possible dioxygenase,25749.11,14.65,6.71,104.78,0.19,35.81,8.8177E-281,9.11E-279
USA300HOU_0933,SACOL0979,clpB,clpB,CtsR,S14 family endopeptidase ClpB,238062.95,17.86,6.69,103.20,0.15,43.35,0,0.00E+00
USA300HOU_2508,SACOL2529,mhqD,mhqR mhqD mhqE,MhqR,phospholipase/carboxylesterase MhqD,7189.32,12.81,6.61,97.61,0.23,28.75,9.0358E-182,4.58E-180
USA300HOU_0403,SACOL0451,ahpF,ahpCF,PerR,peroxiredoxin subunit F,330637.02,18.33,6.41,84.84,0.15,43.16,0,0.00E+00
USA300HOU_2506,-,USA300HOU_2506,-,-,hypothetical protein,1149.37,10.17,6.36,82.20,0.21,30.08,1.0074E-198,5.64E-197
USA300HOU_2202,SACOL2199,alsS,budA1 alsS,CidR,acetolactate synthase,10038.01,13.29,6.28,77.67,0.16,40.07,0,0.00E+00
USA300HOU_0905,SACOL0948,mnmC,mnmC,Zur,hypothetical protein,3530.13,11.79,6.27,77.22,0.16,39.39,0,0.00E+00
USA300HOU_2201,SACOL2198,budA1,budA1 alsS,CidR,acetolactate decarboxylase,4932.47,12.27,6.26,76.77,0.16,38.75,0,0.00E+00
USA300HOU_0218,SACOL0190,acpD,acpD,GraRS,azoreductase,32666.60,15.00,6.17,71.80,0.16,37.65,0,0.00E+00
USA300HOU_2550,SACOL2570,lacA,lacA,-,maltose O-acetyltransferase,4263.82,12.06,6.11,69.24,0.15,39.97,0,0.00E+00
USA300HOU_2510,SACOL2531,mhqR,mhqR mhqD mhqE,MhqR,MarR family transcriptional regulator MhqR,6103.97,12.58,6.10,68.82,0.25,24.47,2.928E-132,7.87E-131
USA300HOU_0085,-,copZ2,copA2Z2,CsoR,putative copper ion binding lipoprotein CopZ2,48439.79,15.56,6.01,64.60,0.15,40.02,0,0.00E+00
USA300HOU_0059,-,adhC,-,-,"alcohol dehydrogenase, zinc-containing",15167.43,13.89,5.96,62.14,0.20,30.36,1.6135E-202,9.63E-201
USA300HOU_0084,-,copA2,copA2Z2,CsoR,copper-translocating P-type ATPase CopA2,143435.24,17.13,5.93,60.82,0.15,40.70,0,0.00E+00
USA300HOU_0360,SACOL0410,azoR1,catE SACOL0409 azoR1,QsrR,possible FMN reductase,5352.72,12.39,5.88,58.98,0.18,32.84,1.6607E-236,1.24E-234
USA300HOU_0128,SACOL0101,sbnB,sbnABCDEFGHI,Fur,possible ornithine cyclodeaminase,382.20,8.58,5.86,58.08,0.28,20.58,3.83253E-94,6.09E-93
USA300HOU_2553,SACOL2573,copZ,copAZ,CsoR,copper ion binding protein CopZ,31627.53,14.95,5.82,56.51,0.15,39.63,0,0.00E+00
USA300HOU_2505,SACOL2527,fbp,fbp,GraRS,fructose-bisphosphatase,14200.20,13.79,5.77,54.69,0.16,36.71,5.1485E-295,5.53E-293
USA300HOU_0723,SACOL0759,fruA,fruAB,-,PTS system fructose/mannitol (fru) transporter subunit IIABC,60772.85,15.89,5.75,53.94,0.18,32.62,1.989E-233,1.44E-231
USA300HOU_2458,SACOL2476,cntA,SACOL2471 cntF cntD cnzC cntB cntA,AgrA,peptide ABC transporter peptide-binding protein,15851.96,13.95,5.75,53.70,0.14,42.35,0,0.00E+00
USA300HOU_0359,SACOL0409,USA300HOU_0359,catE SACOL0409 azoR1,QsrR,possible alkanal monooxygenase (FMN-linked),9067.77,13.15,5.71,52.37,0.18,32.54,3.2785E-232,2.32E-230
USA300HOU_2552,SACOL2572,copA,copAZ,CsoR,copper-translocating P-type ATPase CopA,78598.76,16.26,5.60,48.43,0.16,35.59,1.8366E-277,1.76E-275
USA300HOU_0797,SACOL0833,clpP,clpP,CtsR,S14 family endopeptidase ClpP,106409.74,16.70,5.58,47.85,0.15,38.24,0,0.00E+00
USA300HOU_0127,SACOL0100,sbnA,sbnABCDEFGHI,Fur,possible pyridoxal-phosphate dependent enzyme,278.49,8.12,5.53,46.22,0.31,18.04,8.93868E-73,1.03E-71
USA300HOU_0358,SACOL0408,catE,catE SACOL0409 azoR1,QsrR,possible lactoylglutathione lyase,5707.69,12.48,5.53,46.10,0.17,31.66,5.5812E-220,3.75E-218
USA300HOU_2457,SACOL2475,cntB,SACOL2471 cntF cntD cnzC cntB cntA,AgrA,peptide ABC transporter permease,4335.72,12.08,5.21,36.92,0.18,29.48,4.6088E-191,2.38E-189
USA300HOU_2575,SACOL2597,USA300HOU_2575,acrR SACOL2594 - SACOL2597,SigB,hydrolase,9109.72,13.15,5.17,35.95,0.18,28.06,3.1253E-173,1.42E-171
USA300HOU_0672,SACOL0708,dhaL,dhaKLM,CcpA,DAK2 domain-containing protein DhaL,3111.30,11.60,5.10,34.24,0.17,30.88,2.5145E-209,1.57E-207
USA300HOU_0129,SACOL0102,sbnC,sbnABCDEFGHI,Fur,IucA/IucC family siderophore biosynthesis protein,913.00,9.83,5.09,34.06,0.20,26.04,1.8912E-149,6.78E-148
USA300HOU_2573,SACOL2594,USA300HOU_2573,acrR SACOL2594 - SACOL2597,SigB,dehydrogenase,2148.03,11.07,5.09,34.01,0.23,22.01,2.5156E-107,5.04E-106
USA300HOU_0242,SACOL0213,fadD,fadDEX,CcpA,acyl-CoA dehydrogenase,223.86,7.81,5.09,34.00,0.65,7.79,6.96677E-15,1.94E-14
USA300HOU_2572,SACOL2593,acrR,acrR SACOL2594 - SACOL2597,SigB,TetR family transcriptional regulator,1520.58,10.57,5.09,33.97,0.22,23.13,2.0997E-118,4.66E-117
USA300HOU_0093,SACOL0064,cstB,cstAB sqr,CstR,hydroxyacylglutathione hydrolase,3928.83,11.94,5.06,33.44,0.18,27.93,1.3257E-171,5.94E-170
USA300HOU_2512,SACOL2534,frp,frp,QsrR,FMN reductase,7589.87,12.89,5.01,32.16,0.15,34.22,1.03E-256,7.91E-255
USA300HOU_0421,SACOL0467,USA300HOU_0421,SACOL0466 SACOL0467,GraRS,hypothetical protein,1268.14,10.31,4.98,31.51,0.19,25.91,5.3562E-148,1.87E-146
USA300HOU_0092,SACOL0063,cstA,cstAB sqr,CstR,rhodanese domain-containing protein,2257.94,11.14,4.95,31.02,0.19,25.50,2.1756E-143,6.72E-142
USA300HOU_1581,SACOL1637,dnaK,hrcA-grpE-dnaKJ,HrcA,chaperone DnaK,166040.87,17.34,4.94,30.79,0.17,28.60,6.9895E-180,3.41E-178
USA300HOU_0671,SACOL0707,dhaK,dhaKLM,CcpA,dihydroxyacetone kinase subunit DhaK,3550.77,11.79,4.94,30.78,0.21,23.84,1.3011E-125,3.24E-124
USA300HOU_0405,SACOL0453,nfrA,nfrA,-,NAD(P)H-flavin oxidoreductase,9006.22,13.14,4.93,30.48,0.14,34.87,2.2737E-266,2.04E-264
USA300HOU_0420,SACOL0466,USA300HOU_0420,SACOL0466 SACOL0467,GraRS,hypothetical membrane protein,617.14,9.27,4.93,30.40,0.26,19.09,3.34796E-81,4.45E-80
USA300HOU_1277,SACOL1368,katA,katA,PerR,catalase,83986.18,16.36,4.92,30.21,0.14,35.64,3.6363E-278,3.62E-276
USA300HOU_0217,SACOL0189,USA300HOU_0217,SACOL0189,-,hypothetical protein,3139.43,11.62,4.91,30.06,0.16,31.39,3.0053E-216,1.97E-214
USA300HOU_2574,SACOL2596,USA300HOU_2574,acrR SACOL2594 - SACOL2597,SigB,hypothetical protein,5132.80,12.33,4.90,29.89,0.19,26.40,1.4146E-153,5.28E-152
USA300HOU_2024,SACOL2016,groEL,groEL-groES,HrcA,chaperone GroEL,52772.91,15.69,4.80,27.85,0.19,25.66,3.1803E-145,1.02E-143
USA300HOU_2356,-,USA300HOU_2356,-,-,hypothetical protein,109.57,6.78,4.77,27.33,0.37,12.84,9.28978E-38,5.30E-37
USA300HOU_0130,SACOL0103,sbnD,sbnABCDEFGHI,Fur,MFS family major facilitator transporter,619.54,9.28,4.77,27.26,0.22,21.74,7.932E-105,1.56E-103
USA300HOU_0673,SACOL0709,dhaM,dhaKLM,CcpA,PTS-dependent dihydroxyacetone kinase phosphotransferase subunit DhaM,1794.05,10.81,4.77,27.21,0.17,27.42,1.5412E-165,6.68E-164
USA300HOU_0219,SACOL0191,USA300HOU_0219,SACOL0191,-,M23/M37 peptidase domain-containing protein,1350.42,10.40,4.71,26.17,0.18,26.65,1.7389E-156,6.87E-155
USA300HOU_2527,SACOL2551,USA300HOU_2527,trxA_6 SACOL2551,GraRS,possible thioesterase,1840.20,10.85,4.70,26.04,0.18,25.84,3.0487E-147,1.05E-145
USA300HOU_2025,SACOL2017,groES,groEL-groES,HrcA,chaperone GroES,8813.14,13.11,4.66,25.33,0.19,25.04,2.3749E-138,6.94E-137
USA300HOU_0915,SACOL0959,namA,namA,-,flavin oxidoreductase,8902.61,13.12,4.65,25.15,0.16,28.28,5.5985E-176,2.64E-174
USA300HOU_2526,SACOL2550,trxA_6,trxA_6 SACOL2551,GraRS,possible thioredoxin,1783.34,10.80,4.65,25.15,0.18,26.29,2.5497E-152,9.26E-151
USA300HOU_1623,SACOL1678,USA300HOU_1623,SACOL1678,MgrA,dehydrogenase,2707.94,11.40,4.63,24.80,0.19,24.35,5.283E-131,1.38E-129
USA300HOU_2549,SACOL2569,rocA,rocA,AgrA,1-pyrroline-5-carboxylate dehydrogenase,34620.42,15.08,4.53,23.10,0.46,9.84,7.61173E-23,2.78E-22
USA300HOU_1582,SACOL1638,grpE,hrcA-grpE-dnaKJ,HrcA,chaperone GrpE,38743.38,15.24,4.52,22.98,0.18,25.65,4.6441E-145,1.47E-143
USA300HOU_1433,SACOL0388,xhlB,xhlB,-,Holin protein,4.22,2.08,4.52,22.97,1.43,3.17,0.00154153,2.34E-03
USA300HOU_0722,SACOL0758,fruB,fruAB,FruR,1-phosphofructokinase,13916.86,13.76,4.51,22.80,0.24,18.84,3.61536E-79,4.52E-78
USA300HOU_1583,SACOL1639,hrcA,hrcA-grpE-dnaKJ,HrcA,heat shock transcriptional repressor HrcA,39260.92,15.26,4.51,22.72,0.19,23.67,8.0734E-124,1.97E-122
USA300HOU_2200,SACOL2197,map-w,map-w,SigB,truncated MHC class II analog protein,133.03,7.06,4.50,22.60,0.38,11.81,3.36224E-32,1.64E-31
USA300HOU_0200,SACOL0172,entB,entB,-,isochorismatase family protein,5418.69,12.40,4.47,22.12,0.13,35.07,2.2318E-269,2.07E-267
USA300HOU_1681,SACOL1741,citC,citCZ,GraRS,isocitrate dehydrogenase (NADP(+)),28609.54,14.80,4.44,21.66,0.16,28.17,1.3488E-174,6.25E-173
USA300HOU_2267,SACOL2278,caiA,caiA,CymR,acyl-CoA dehydrogenase,1402.50,10.45,4.33,20.05,0.18,23.52,2.4523E-122,5.73E-121
USA300HOU_pUSA300HOUMR0010,-,USA300HOU_pUSA300HOUMR0010,-,-,MarR family transcriptional regulator,1711.08,10.74,4.32,20.02,0.17,25.23,1.7546E-140,5.24E-139
USA300HOU_0201,SACOL0173,ipdC,ipdC,CcpA,thiamine pyrophosphate TPP binding domain-containing protein,15941.23,13.96,4.29,19.61,0.13,31.97,2.898E-224,2.00E-222
USA300HOU_1299,SACOL1400,dinB2,dinB2,LexA,ImpB/MucB/SamB family DNA-damage repair protein,1722.54,10.75,4.29,19.59,0.18,23.85,1.1153E-125,2.83E-124
USA300HOU_pUSA300HOUMR0007,-,cadR,-,-,cadmium binding protein,2861.08,11.48,4.21,18.54,0.15,27.21,5.133E-163,2.15E-161
USA300HOU_0452,SACOL0491,yciC,yciC,Zur,cobalamin (vitamin B12) biosynthesis protein,1073.26,10.07,4.20,18.42,0.18,23.26,1.106E-119,2.48E-118
USA300HOU_2533,SACOL2554.1,cidA,cidCBA,CidR,hypothetical membrane protein,344.17,8.43,4.19,18.21,0.23,18.26,1.63364E-74,1.95E-73
USA300HOU_pUSA300HOUMR0008,-,cadX,-,-,cadmium efflux regulator,2697.13,11.40,4.18,18.18,0.16,25.69,1.406E-145,4.66E-144
USA300HOU_1770,SACOL1831,tal,tal,-,translaldolase,15501.67,13.92,4.18,18.16,0.14,30.19,3.5178E-200,2.01E-198
USA300HOU_0678,SACOL0714,USA300HOU_0678,SACOL0714,-,acetyltransferase,3860.06,11.91,4.17,18.05,0.20,21.08,1.15719E-98,1.99E-97
USA300HOU_0131,SACOL0104,sbnE,sbnABCDEFGHI,Fur,IucA/IucC family siderophore biosynthesis protein,810.47,9.66,4.12,17.41,0.20,20.89,6.19057E-97,1.05E-95
USA300HOU_2542,SACOL2563,clpL,clpL,SigB,S14 family endopeptidase Clp,4817.13,12.23,4.09,17.07,0.17,24.41,1.2468E-131,3.28E-130
USA300HOU_1484,-,USA300HOU_1484,-,-,hypothetical bacteriophage protein,7.01,2.81,4.06,16.71,1.08,3.75,0.000177569,2.90E-04
USA300HOU_2172,SACOL2170,USA300HOU_2172,SACOL2168 SACOL2169 SACOL2170,SigB,MFS family major facilitator transporter,1368.87,10.42,4.05,16.58,0.17,23.89,3.9855E-126,1.02E-124
USA300HOU_0935,SACOL0981,leuA2,leuA2 SACOL0982 SACOL0983 SACOL0984,-,isopropylmalate synthase-related protein,177.15,7.47,3.97,15.69,0.28,14.26,3.79907E-46,2.67E-45
USA300HOU_0243,SACOL0214,fadE,fadDEX,CcpA,long-chain-fatty-acid--CoA ligase,330.82,8.37,3.96,15.60,0.22,17.95,4.87201E-72,5.43E-71
USA300HOU_2262,SACOL2273,fdhD,fdhD,-,formate dehydrogenase accessory protein,5592.79,12.45,3.94,15.36,0.14,28.37,4.5065E-177,2.16E-175
USA300HOU_2180,SACOL2178,USA300HOU_2180,SACOL2178,-,"alcohol dehydrogenase, zinc-containing",9434.00,13.20,3.93,15.25,0.14,27.15,2.8482E-162,1.16E-160
USA300HOU_0838,SACOL0875,USA300HOU_0838,SACOL0875,-,thioredoxin,5301.25,12.37,3.93,15.21,0.14,27.41,2.1241E-165,9.06E-164
USA300HOU_0437,SACOL0480,SCIN,SCIN,SaeRS,Staphylococcal complement inhibitor SCIN,2304.74,11.17,3.92,15.13,0.19,21.14,3.5557E-99,6.24E-98
USA300HOU_1682,SACOL1742,citZ,citCZ,GraRS,citrate (Si)-synthase,14672.89,13.84,3.89,14.84,0.18,21.14,3.7116E-99,6.48E-98
USA300HOU_2422,SACOL2439,USA300HOU_2422,SACOL2439,MgrA,hypothetical protein,3219.97,11.65,3.87,14.65,0.16,23.66,8.8348E-124,2.14E-122
USA300HOU_2028,SACOL2020,yodC,yodC,QsrR,possible nitroreductase,9002.04,13.14,3.86,14.49,0.14,27.02,8.7863E-161,3.52E-159
USA300HOU_0362,SACOL0412,USA300HOU_0362,SACOL0412,-,hypothetical protein,257.87,8.01,3.85,14.37,0.26,14.59,3.16952E-48,2.31E-47
USA300HOU_2129,SACOL2132,USA300HOU_2129,SACOL2132,SigB,hypothetical protein,1344.46,10.39,3.83,14.20,0.15,25.46,4.9335E-143,1.51E-141
USA300HOU_0288,SACOL0262,USA300HOU_0288,SACOL0262,-,choloylglycine hydrolase,1390.17,10.44,3.79,13.87,0.16,24.34,7.3356E-131,1.90E-129
USA300HOU_0241,SACOL0212,fadB,fadAB,CcpA,3-hydroxyacyl-CoA dehydrogenase,429.95,8.75,3.78,13.75,0.21,17.76,1.32739E-70,1.44E-69
USA300HOU_2570,SACOL2591,nrmA,SACOL2590 nrmA SACOL2592,-,putative NmrA negative transcriptional regulator family protein,1402.78,10.45,3.78,13.75,0.18,20.73,2.02465E-95,3.28E-94
USA300HOU_0916,SACOL0960,rocD,rocD gluD,CcpA,ornithine--oxo-acid transaminase,22642.61,14.47,3.78,13.70,0.19,19.38,1.14338E-83,1.56E-82
USA300HOU_0410,SACOL0457,yflT,SACOL0455 SACOL0456 yflT,SigB,putative heat induced stress protein,12161.29,13.57,3.78,13.69,0.49,7.67,1.70101E-14,4.67E-14
USA300HOU_1891,SACOL1952,ftn,ftnA,Fur,ferritin,26912.31,14.72,3.73,13.23,0.23,16.35,4.53182E-60,4.14E-59
USA300HOU_0138,SACOL0111,butA,butA,-,acetoin reductase,10479.55,13.36,3.71,13.12,0.21,17.71,3.79667E-70,4.11E-69
USA300HOU_1177,SACOL1263,sucD,sucC sucD,GraRS,succinate--CoA ligase (ADP-forming) alpha subunit,47553.17,15.54,3.70,12.98,0.14,25.96,1.4999E-148,5.30E-147
USA300HOU_2154,SACOL2154,rocF,rocF,CcpA,arginase,3022.05,11.56,3.69,12.88,0.14,25.83,4.1611E-147,1.42E-145
USA300HOU_2355,SACOL2369,iruO,SACOL2368 iruO,AgrA,pyridine nucleotide-disulfide oxidoreductase,2497.01,11.29,3.67,12.74,0.17,21.67,4.348E-104,8.35E-103
USA300HOU_0060,-,USA300HOU_0060,-,-,hypothetical protein,3.73,1.90,3.66,12.64,1.29,2.84,0.004543353,6.65E-03
USA300HOU_1476,-,USA300HOU_1476,-,-,hypothetical protein,1.93,0.95,3.65,12.56,1.49,2.45,0.014138841,1.97E-02
USA300HOU_2531,SACOL2553,cidC,cidCBA,CidR,pyruvate oxidase,16046.24,13.97,3.64,12.43,0.14,25.69,1.6785E-145,5.50E-144
USA300HOU_0132,SACOL0105,sbnF,sbnABCDEFGHI,Fur,IucA/IucC family siderophore biosynthesis protein,861.89,9.75,3.63,12.37,0.20,18.24,2.63483E-74,3.12E-73
USA300HOU_0184,SACOL0157,srpF,srpF,CymR,hypothetical protein,533.70,9.06,3.62,12.28,0.21,17.29,5.54539E-67,5.71E-66
USA300HOU_1219,SACOL1306,USA300HOU_1219,SACOL1306,-,hypothetical protein,1520.37,10.57,3.61,12.25,0.16,22.11,2.4408E-108,5.01E-107
USA300HOU_2175,SACOL2173,asp23,asp23 SACOL2174 amaP opuD2,SigB,alkaline shock protein 23,63099.41,15.95,3.60,12.10,0.17,21.07,1.48819E-98,2.55E-97
USA300HOU_1722,SACOL1783,acsA,acs,CcpA,acetyl-CoA synthetase,4250.69,12.05,3.59,12.04,0.20,17.55,5.51357E-69,5.81E-68
USA300HOU_2548,SACOL2568,USA300HOU_2548,SACOL2568,-,hypothetical protein,224.94,7.81,3.58,11.98,0.28,13.02,9.74709E-39,5.72E-38
USA300HOU_2176,SACOL2174,USA300HOU_2176,asp23 SACOL2174 amaP opuD2,SigB,hypothetical membrane protein,17699.47,14.11,3.56,11.83,0.17,21.08,1.14313E-98,1.98E-97
USA300HOU_0917,SACOL0961,gudB,rocD gluD,CcpA,glutamate dehydrogenase,41043.79,15.32,3.56,11.78,0.20,17.80,7.46892E-71,8.16E-70
USA300HOU_0185,-,ssuB,-,-,hypothetical protein,347.60,8.44,3.56,11.78,0.22,16.25,2.29298E-59,2.05E-58
USA300HOU_2571,SACOL2592,USA300HOU_2571,SACOL2590 nrmA SACOL2592,-,hypothetical protein,451.65,8.82,3.55,11.72,0.24,14.50,1.22044E-47,8.72E-47
USA300HOU_1176,SACOL1262,sucC,sucC sucD,GraRS,succinate--CoA ligase (ADP-forming) beta subunit,47317.36,15.53,3.55,11.70,0.14,25.46,5.087E-143,1.54E-141
USA300HOU_2354,SACOL2368,USA300HOU_2354,SACOL2368 iruO,AgrA,acetyltransferase,861.77,9.75,3.54,11.65,0.20,18.02,1.27177E-72,1.45E-71
USA300HOU_2465,SACOL2484,USA300HOU_2465,SACOL2484,SigB,alkylhydroperoxidase,2498.69,11.29,3.52,11.45,0.15,22.98,7.0733E-117,1.56E-115
USA300HOU_1808,SACOL1871,epiG,epiGEFPDCBA,SigB,lantibiotic epidermin immunity protein F,778.60,9.60,3.50,11.28,0.19,17.99,2.17633E-72,2.45E-71
USA300HOU_0406,SACOL0454,tcyP,tcyP,CymR,DAACS family dicarboxylate/amino acid:sodium (Na+) or proton (H+) symporter,3900.76,11.93,3.48,11.18,0.16,21.46,3.3308E-102,6.13E-101
USA300HOU_1858,SACOL1921,bcp,bcp SACOL1920,PerR,possible peroxiredoxin,2420.60,11.24,3.47,11.07,0.18,19.34,2.27603E-83,3.09E-82
USA300HOU_2525,SACOL2549,aes,aes,-,Alpha/beta hydrolase fold-3 domain-containing protein,6674.21,12.70,3.46,11.03,0.15,22.75,1.4077E-114,3.08E-113
USA300HOU_2545,SACOL2565,feoA,feoAB,Fur,hypothetical protein,58.85,5.88,3.46,11.02,0.51,6.75,1.44082E-11,3.54E-11
USA300HOU_2569,SACOL2590,USA300HOU_2569,SACOL2590 nrmA SACOL2592,-,glyoxalase,927.57,9.86,3.46,11.01,0.19,18.37,2.37623E-75,2.88E-74
USA300HOU_2308,SACOL2321,gdhII,gdhII,SigB,oxidoreductase,4702.73,12.20,3.46,10.99,0.16,21.59,2.3358E-103,4.45E-102
USA300HOU_1347,SACOL1448,sucB,sucB sucA,AgrA,dihydrolipoamide succinyltransferase,20812.62,14.35,3.45,10.95,0.15,23.37,8.2307E-121,1.86E-119
USA300HOU_2599,SACOL2622,fdaB,fdaB,-,"fructose-1,6-bisphosphate aldolase",47837.22,15.55,3.45,10.92,0.14,23.84,1.1654E-125,2.93E-124
USA300HOU_1580,SACOL1636,dnaJ,hrcA-grpE-dnaKJ,HrcA,chaperone DnaJ,19828.06,14.28,3.45,10.91,0.19,18.15,1.31507E-73,1.54E-72
USA300HOU_1555,SACOL1610,sodA,sodA2,-,superoxide dismutase,76894.02,16.23,3.42,10.69,0.14,24.94,2.6833E-137,7.67E-136
USA300HOU_1700,SACOL1762,tpx,tpx,PerR,possible peroxiredoxin,17330.68,14.08,3.42,10.67,0.13,26.47,2.3222E-154,8.91E-153
USA300HOU_0071,-,argR,-,-,arginine repressor,20.18,4.34,3.40,10.55,0.67,5.04,4.62254E-07,8.97E-07
USA300HOU_0075,-,USA300HOU_0075,-,-,putative lysophospholipase,3205.99,11.65,3.39,10.49,0.17,19.78,4.18168E-87,6.04E-86
USA300HOU_2177,SACOL2175,amaP,asp23 SACOL2174 amaP opuD2,SigB,hypothetical protein,26258.88,14.68,3.39,10.46,0.18,19.02,1.20631E-80,1.56E-79
USA300HOU_2687,SACOL2709,mtsA,mtsA mtsB mtsC SACOL2710,GraRS,hypothetical protein,701.61,9.45,3.36,10.28,0.19,17.29,5.72784E-67,5.87E-66
USA300HOU_1579,SACOL1635,prmA,mtaB rsmE prmA dnaJ dnaK grpE hrcA,GraRS,ribosomal protein L11 methyltransferase,20280.37,14.31,3.36,10.27,0.19,17.86,2.59895E-71,2.86E-70
USA300HOU_2688,SACOL2710,USA300HOU_2688,mtsA mtsB mtsC SACOL2710,GraRS,hypothetical protein,703.07,9.46,3.36,10.25,0.18,18.21,3.96616E-74,4.67E-73
USA300HOU_pUSA300HOUMR0014,-,USA300HOU_pUSA300HOUMR0014,-,-,recombinase,5210.43,12.35,3.35,10.22,0.17,20.21,8.84194E-91,1.35E-89
USA300HOU_1080,SACOL1155,trxA,trxA,-,thioredoxin,27281.31,14.74,3.33,10.06,0.17,19.92,2.49606E-88,3.71E-87
USA300HOU_0179,SACOL0152,isdI,isdl SACOL0153,GraRS,heme-degrading enzyme IsdG,786.42,9.62,3.32,9.96,0.17,19.02,1.08669E-80,1.41E-79
USA300HOU_0186,SACOL0158,ssuA,ssuA ssuC SACOL0160,-,ABC transporter ATP-binding protein,486.00,8.92,3.31,9.93,0.19,17.00,7.99313E-65,7.90E-64
USA300HOU_1710,SACOL1771,ohr,ohr,-,organic hydroperoxide resistance protein,1729.48,10.76,3.31,9.92,0.15,21.72,1.3682E-104,2.66E-103
USA300HOU_0227,-,USA300HOU_0227,-,-,hypothetical protein,88.60,6.47,3.29,9.80,0.39,8.37,5.79908E-17,1.74E-16
USA300HOU_2363,SACOL2377,USA300HOU_2363,SACOL2377,-,hypothetical protein,812.07,9.67,3.29,9.76,0.20,16.05,5.58088E-58,4.79E-57
USA300HOU_1857,SACOL1920,USA300HOU_1857,bcp SACOL1920,PerR,D-3-phosphoglycerate dehydrogenase,4376.89,12.10,3.29,9.75,0.17,19.57,2.82229E-85,4.03E-84
USA300HOU_2456,SACOL2474,cnzC,SACOL2471 cntF cntD cnzC cntB cntA,AgrA,peptide ABC transporter permease,785.13,9.62,3.26,9.61,0.18,18.01,1.61822E-72,1.83E-71
USA300HOU_0868,SACOL0912,USA300HOU_0868,SACOL0912,SigB,hypothetical protein,55394.66,15.76,3.26,9.60,0.20,15.93,3.73807E-57,3.17E-56
